Entity,Code,Year,Fertility rate
Afghanistan,AFG,2022,4.932
Albania,ALB,2022,1.355
Algeria,DZA,2022,2.817
Andorra,AND,2022,1.071
Angola,AGO,2022,5.209
Antigua and Barbuda,ATG,2022,1.58
Argentina,ARG,2022,1.482
Armenia,ARM,2022,1.719
Australia,AUS,2022,1.638
Austria,AUT,2022,1.41
Azerbaijan,AZE,2022,1.687
Bahamas,BHS,2022,1.379
Bahrain,BHR,2022,1.839
Bangladesh,BGD,2022,2.179
Barbados,BRB,2022,1.712
Belarus,BLR,2022,1.326
Belgium,BEL,2022,1.547
Belize,BLZ,2022,1.949
Benin,BEN,2022,4.634
Bhutan,BTN,2022,1.478
Bolivia,BOL,2022,2.584
Bosnia and Herzegovina,BIH,2022,1.481
Botswana,BWA,2022,2.785
Brazil,BRA,2022,1.629
Brunei,BRN,2022,1.764
Bulgaria,BGR,2022,1.767
Burkina Faso,BFA,2022,4.275
Burundi,BDI,2022,4.98
Cambodia,KHM,2022,2.616
Cameroon,CMR,2022,4.397
Canada,CAN,2022,1.366
Cape Verde,CPV,2022,1.533
Central African Republic,CAF,2022,6.023
Chad,TCD,2022,6.215
Chile,CHL,2022,1.255
China,CHN,2022,1.034
Colombia,COL,2022,1.663
Comoros,COM,2022,3.935
Congo,COG,2022,4.215
Costa Rica,CRI,2022,1.335
Cote d'Ivoire,CIV,2022,4.349
Croatia,HRV,2022,1.53
Cuba,CUB,2022,1.412
Cyprus,CYP,2022,1.393
Czechia,CZE,2022,1.618
Democratic Republic of Congo,COD,2022,6.106
Denmark,DNK,2022,1.559
Djibouti,DJI,2022,2.653
Dominica,DMA,2022,1.482
Dominican Republic,DOM,2022,2.267
East Timor,TLS,2022,2.801
Ecuador,ECU,2022,1.861
Egypt,EGY,2022,2.75
El Salvador,SLV,2022,1.785
Equatorial Guinea,GNQ,2022,4.17
Eritrea,ERI,2022,3.786
Estonia,EST,2022,1.41
Eswatini,SWZ,2022,2.801
Ethiopia,ETH,2022,4.082
Fiji,FJI,2022,2.305
Finland,FIN,2022,1.318
France,FRA,2022,1.76
French Guiana,GUF,2022,3.436
Gabon,GAB,2022,3.712
Gambia,GMB,2022,4.078
Georgia,GEO,2022,1.82
Germany,DEU,2022,1.46
Ghana,GHA,2022,3.434
Greece,GRC,2022,1.308
Greenland,GRL,2022,1.969
Grenada,GRD,2022,1.502
Guatemala,GTM,2022,2.343
Guinea,GIN,2022,4.303
Guinea-Bissau,GNB,2022,3.911
Guyana,GUY,2022,2.437
Haiti,HTI,2022,2.699
Honduras,HND,2022,2.522
Hungary,HUN,2022,1.55
Iceland,ISL,2022,1.589
India,IND,2022,1.994
Indonesia,IDN,2022,2.149
Iran,IRN,2022,1.704
Iraq,IRQ,2022,3.294
Ireland,IRL,2022,1.594
Israel,ISR,2022,2.936
Italy,ITA,2022,1.24
Jamaica,JAM,2022,1.372
Japan,JPN,2022,1.256
Jordan,JOR,2022,2.679
Kazakhstan,KAZ,2022,3.05
Kenya,KEN,2022,3.262
Kiribati,KIR,2022,3.182
Kosovo,OWID_KOS,2022,1.555
Kuwait,KWT,2022,1.547
Kyrgyzstan,KGZ,2022,2.81
Laos,LAO,2022,2.455
Latvia,LVA,2022,1.47
Lebanon,LBN,2022,2.263
Lesotho,LSO,2022,2.716
Liberia,LBR,2022,4.016
Libya,LBY,2022,2.402
Liechtenstein,LIE,2022,1.529
Lithuania,LTU,2022,1.27
Luxembourg,LUX,2022,1.39
Madagascar,MDG,2022,4.036
Malawi,MWI,2022,3.72
Malaysia,MYS,2022,1.55
Maldives,MDV,2022,1.583
Mali,MLI,2022,5.692
Malta,MLT,2022,1.101
Marshall Islands,MHL,2022,2.936
Mauritania,MRT,2022,4.77
Mauritius,MUS,2022,1.27
Mexico,MEX,2022,1.94
Micronesia (country),FSM,2022,2.785
Moldova,MDA,2022,1.694
Monaco,MCO,2022,2.114
Mongolia,MNG,2022,2.746
Montenegro,MNE,2022,1.881
Morocco,MAR,2022,2.256
Mozambique,MOZ,2022,4.84
Myanmar,MMR,2022,2.131
Namibia,NAM,2022,3.248
Nauru,NRU,2022,3.379
Nepal,NPL,2022,2.002
Netherlands,NLD,2022,1.514
New Caledonia,NCL,2022,1.998
New Zealand,NZL,2022,1.665
Nicaragua,NIC,2022,2.24
Niger,NER,2022,6.135
Nigeria,NGA,2022,4.552
North Korea,PRK,2022,1.797
North Macedonia,MKD,2022,1.588
Norway,NOR,2022,1.415
Oman,OMN,2022,2.449
Pakistan,PAK,2022,3.662
Palau,PLW,2022,1.927
Palestine,PSE,2022,3.375
Panama,PAN,2022,2.139
Papua New Guinea,PNG,2022,3.165
Paraguay,PRY,2022,2.444
Peru,PER,2022,2.004
Philippines,PHL,2022,1.929
Poland,POL,2022,1.261
Portugal,PRT,2022,1.453
Puerto Rico,PRI,2022,0.94
Qatar,QAT,2022,1.739
Romania,ROU,2022,1.717
Russia,RUS,2022,1.452
Rwanda,RWA,2022,3.778
Saint Kitts and Nevis,KNA,2022,1.512
Saint Lucia,LCA,2022,1.387
Saint Vincent and the Grenadines,VCT,2022,1.791
Samoa,WSM,2022,3.883
San Marino,SMR,2022,1.136
Sao Tome and Principe,STP,2022,3.695
Saudi Arabia,SAU,2022,2.14
Senegal,SEN,2022,3.864
Serbia,SRB,2022,1.519
Seychelles,SYC,2022,2.166
Sierra Leone,SLE,2022,3.876
Singapore,SGP,2022,0.943
Slovakia,SVK,2022,1.56
Slovenia,SVN,2022,1.568
Solomon Islands,SLB,2022,3.62
Somalia,SOM,2022,6.255
South Africa,ZAF,2022,2.227
South Korea,KOR,2022,0.78
South Sudan,SSD,2022,3.964
Spain,ESP,2022,1.205
Sri Lanka,LKA,2022,1.984
Sudan,SDN,2022,4.384
Suriname,SUR,2022,2.274
Sweden,SWE,2022,1.538
Switzerland,CHE,2022,1.395
Syria,SYR,2022,2.746
Taiwan,TWN,2022,0.87
Tajikistan,TJK,2022,3.127
Tanzania,TZA,2022,4.671
Thailand,THA,2022,1.221
Togo,TGO,2022,4.253
Tonga,TON,2022,3.171
Trinidad and Tobago,TTO,2022,1.544
Tunisia,TUN,2022,1.847
Turkey,TUR,2022,1.625
Turkmenistan,TKM,2022,2.728
Tuvalu,TUV,2022,3.244
Uganda,UGA,2022,4.388
Ukraine,UKR,2022,0.897
United Arab Emirates,ARE,2022,1.148
United Kingdom,GBR,2022,1.56
United States,USA,2022,1.665
Uruguay,URY,2022,1.425
Uzbekistan,UZB,2022,3.396
Vanuatu,VUT,2022,3.647
Venezuela,VEN,2022,2.088
Vietnam,VNM,2022,1.927
Western Sahara,ESH,2022,2.189
Yemen,YEM,2022,4.593
Zambia,ZMB,2022,4.175
Zimbabwe,ZWE,2022,3.767