Entity,Code,Year,GDP per capita,World region according to OWID
Afghanistan,AFG,2022,1981.7102,Asia
Albania,ALB,2022,19388.873,Europe
Algeria,DZA,2022,14782.2,Africa
Andorra,AND,2022,63913.383,Europe
Angola,AGO,2022,8950.143,Africa
Antigua and Barbuda,ATG,2022,27941.785,North America
Argentina,ARG,2022,27825.027,South America
Armenia,ARM,2022,17886.178,Asia
Australia,AUS,2022,60029.133,Oceania
Austria,AUT,2022,65694.555,Europe
Azerbaijan,AZE,2022,21051.244,Asia
Bahamas,BHS,2022,34342.93,North America
Bahrain,BHR,2022,57572.996,Asia
Bangladesh,BGD,2022,7888.164,Asia
Barbados,BRB,2022,20716.285,North America
Belarus,BLR,2022,26537.508,Europe
Belgium,BEL,2022,62561.78,Europe
Belize,BLZ,2022,12565.364,North America
Benin,BEN,2022,3588.3252,Africa
Bhutan,BTN,2022,14061.3125,Asia
Bolivia,BOL,2022,11487.715,South America
Bosnia and Herzegovina,BIH,2022,19298.197,Europe
Botswana,BWA,2022,18647.373,Africa
Brazil,BRA,2022,18554.047,South America
Brunei,BRN,2022,76357.83,Asia
Bulgaria,BGR,2022,32433.793,Europe
Burkina Faso,BFA,2022,2469.1995,Africa
Burundi,BDI,2022,1031.2542,Africa
Cambodia,KHM,2022,6458.368,Asia
Cameroon,CMR,2022,4843.6504,Africa
Canada,CAN,2022,58321.062,North America
Cape Verde,CPV,2022,8850.106,Africa
Central African Republic,CAF,2022,1136.8018,Africa
Chad,TCD,2022,2449.4824,Africa
Chile,CHL,2022,29569.479,South America
China,CHN,2022,21499.383,Asia
Colombia,COL,2022,18458.72,South America
Comoros,COM,2022,3399.2783,Africa
Congo,COG,2022,6205.105,Africa
Costa Rica,CRI,2022,24831.719,North America
Cote d'Ivoire,CIV,2022,6272.264,Africa
Croatia,HRV,2022,39864.01,Europe
Cyprus,CYP,2022,50623.797,Europe
Czechia,CZE,2022,48390.66,Europe
Democratic Republic of Congo,COD,2022,1484.3384,Africa
Denmark,DNK,2022,69475.32,Europe
Djibouti,DJI,2022,6180.68,Africa
Dominica,DMA,2022,17550.8,North America
Dominican Republic,DOM,2022,22986.959,North America
East Timor,TLS,2022,5348.492,Asia
Ecuador,ECU,2022,14186.639,South America
Egypt,EGY,2022,16360.391,Africa
El Salvador,SLV,2022,11085.618,North America
Equatorial Guinea,GNQ,2022,16932.771,Africa
Estonia,EST,2022,43128.633,Europe
Eswatini,SWZ,2022,9927.605,Africa
Ethiopia,ETH,2022,2655.5928,Africa
Fiji,FJI,2022,12118.318,Oceania
Finland,FIN,2022,57068.305,Europe
France,FRA,2022,53673.812,Europe
Gabon,GAB,2022,18662.049,Africa
Gambia,GMB,2022,2863.1804,Africa
Georgia,GEO,2022,20966.527,Asia
Germany,DEU,2022,63676.086,Europe
Ghana,GHA,2022,6728.454,Africa
Greece,GRC,2022,35831.344,Europe
Greenland,GRL,2022,70681.23,North America
Grenada,GRD,2022,16376.428,North America
Guatemala,GTM,2022,12147.931,North America
Guinea,GIN,2022,3792.0107,Africa
Guinea-Bissau,GNB,2022,2603.2402,Africa
Guyana,GUY,2022,37068.2,South America
Haiti,HTI,2022,3057.4285,North America
Honduras,HND,2022,6352.587,North America
Hungary,HUN,2022,40610.973,Europe
Iceland,ISL,2022,65380.316,Europe
India,IND,2022,8594.392,Asia
Indonesia,IDN,2022,13334.266,Asia
Iran,IRN,2022,16377.961,Asia
Iraq,IRQ,2022,13433.397,Asia
Ireland,IRL,2022,123219.08,Europe
Israel,ISR,2022,48098.188,Asia
Italy,ITA,2022,52333.33,Europe
Jamaica,JAM,2022,11096.638,North America
Japan,JPN,2022,44972.344,Asia
Jordan,JOR,2022,9266.575,Asia
Kazakhstan,KAZ,2022,33506.26,Asia
Kenya,KEN,2022,5491.694,Africa
Kiribati,KIR,2022,3107.7761,Oceania
Kosovo,OWID_KOS,2022,13022.463,Europe
Kuwait,KWT,2022,51379.883,Asia
Kyrgyzstan,KGZ,2022,6139.778,Asia
Laos,LAO,2022,8183.0327,Asia
Latvia,LVA,2022,37718.71,Europe
Lebanon,LBN,2022,11474.751,Asia
Lesotho,LSO,2022,2577.5454,Africa
Liberia,LBR,2022,1578.9984,Africa
Libya,LBY,2022,11450.06,Africa
Lithuania,LTU,2022,46651.215,Europe
Luxembourg,LUX,2022,132570.83,Europe
Madagascar,MDG,2022,1602.7136,Africa
Malawi,MWI,2022,1659.9594,Africa
Malaysia,MYS,2022,32129.223,Asia
Maldives,MDV,2022,21357.81,Asia
Mali,MLI,2022,2813.811,Africa
Malta,MLT,2022,56841.957,Europe
Marshall Islands,MHL,2022,6936.865,Oceania
Mauritania,MRT,2022,6053.2617,Africa
Mauritius,MUS,2022,25085.988,Africa
Mexico,MEX,2022,21391.857,North America
Micronesia (country),FSM,2022,3814.9907,Oceania
Moldova,MDA,2022,15358.016,Europe
Mongolia,MNG,2022,15310.435,Asia
Montenegro,MNE,2022,25583.422,Europe
Morocco,MAR,2022,8690.448,Africa
Mozambique,MOZ,2022,1476.6656,Africa
Myanmar,MMR,2022,5350.4766,Asia
Namibia,NAM,2022,9953.098,Africa
Nauru,NRU,2022,12363.6455,Oceania
Nepal,NPL,2022,4763.3877,Asia
Netherlands,NLD,2022,71324.04,Europe
New Zealand,NZL,2022,49964.176,Oceania
Nicaragua,NIC,2022,7277.8228,North America
Niger,NER,2022,1717.5189,Africa
Nigeria,NGA,2022,7752.262,Africa
North Macedonia,MKD,2022,22822.328,Europe
Norway,NOR,2022,91051.086,Europe
Oman,OMN,2022,39780.21,Asia
Pakistan,PAK,2022,5526.2793,Asia
Palau,PLW,2022,16040.908,Oceania
Palestine,PSE,2022,5753.084,Asia
Panama,PAN,2022,33915.152,North America
Papua New Guinea,PNG,2022,4125.493,Oceania
Paraguay,PRY,2022,15259.1455,South America
Peru,PER,2022,15559.821,South America
Philippines,PHL,2022,9457.104,Asia
Poland,POL,2022,43405.023,Europe
Portugal,PRT,2022,41070.86,Europe
Puerto Rico,PRI,2022,42310.957,North America
Qatar,QAT,2022,114740.164,Asia
Romania,ROU,2022,39256.99,Europe
Russia,RUS,2022,38214.496,Europe
Rwanda,RWA,2022,2892.4597,Africa
Saint Kitts and Nevis,KNA,2022,29749.87,North America
Saint Lucia,LCA,2022,22962.281,North America
Saint Vincent and the Grenadines,VCT,2022,16835.023,North America
Samoa,WSM,2022,6449.365,Oceania
San Marino,SMR,2022,70887.57,Europe
Sao Tome and Principe,STP,2022,5632.1387,Africa
Saudi Arabia,SAU,2022,67178.59,Asia
Senegal,SEN,2022,4228.734,Africa
Serbia,SRB,2022,24651.95,Europe
Seychelles,SYC,2022,27978.178,Africa
Sierra Leone,SLE,2022,2934.7332,Africa
Singapore,SGP,2022,133571.97,Asia
Slovakia,SVK,2022,38664.906,Europe
Slovenia,SVN,2022,47050.066,Europe
Solomon Islands,SLB,2022,2330.103,Oceania
Somalia,SOM,2022,1387.5475,Africa
South Africa,ZAF,2022,13767.497,Africa
South Korea,KOR,2022,53228.605,Asia
Spain,ESP,2022,46733.48,Europe
Sri Lanka,LKA,2022,13249.065,Asia
Sudan,SDN,2022,3132.0771,Africa
Suriname,SUR,2022,18742.588,South America
Sweden,SWE,2022,63088.42,Europe
Switzerland,CHE,2022,82777.3,Europe
Syria,SYR,2022,4454.8535,Asia
Tajikistan,TJK,2022,4213.7563,Asia
Tanzania,TZA,2022,3546.981,Africa
Thailand,THA,2022,20762.795,Asia
Togo,TGO,2022,2739.6882,Africa
Tonga,TON,2022,6810.61,Oceania
Trinidad and Tobago,TTO,2022,30784.111,North America
Tunisia,TUN,2022,12712.224,Africa
Turkey,TUR,2022,33520.812,Asia
Turkmenistan,TKM,2022,17119.574,Asia
Tuvalu,TUV,2022,5498.1846,Oceania
Uganda,UGA,2022,2724.906,Africa
Ukraine,UKR,2022,13787.121,Europe
United Arab Emirates,ARE,2022,70075.63,Asia
United Kingdom,GBR,2022,53139.152,Europe
United States,USA,2022,72679.26,North America
Uruguay,URY,2022,30804.703,South America
Uzbekistan,UZB,2022,9607.562,Asia
Vanuatu,VUT,2022,3222.836,Oceania
Vietnam,VNM,2022,12979.764,Asia
Zambia,ZMB,2022,3585.1238,Africa
Zimbabwe,ZWE,2022,5036.761,Africa