Entity,Code,Year,Life expectancy
Afghanistan,AFG,2022,65.617
Albania,ALB,2022,78.7688
Algeria,DZA,2022,76.1289
Andorra,AND,2022,84.0164
Angola,AGO,2022,64.2455
Antigua and Barbuda,ATG,2022,77.4833
Argentina,ARG,2022,75.8061
Armenia,ARM,2022,74.6333
Australia,AUS,2022,82.7662
Austria,AUT,2022,81.2959
Azerbaijan,AZE,2022,74.125
Bahamas,BHS,2022,74.4911
Bahrain,BHR,2022,80.9921
Bangladesh,BGD,2022,74.2647
Barbados,BRB,2022,75.6761
Belarus,BLR,2022,74.3612
Belgium,BEL,2022,81.1589
Belize,BLZ,2022,72.1904
Benin,BEN,2022,60.4751
Bhutan,BTN,2022,72.754
Bolivia,BOL,2022,67.4342
Bosnia and Herzegovina,BIH,2022,76.7772
Botswana,BWA,2022,68.7487
Brazil,BRA,2022,74.8719
Brunei,BRN,2022,72.9171
Bulgaria,BGR,2022,74.0342
Burkina Faso,BFA,2022,60.7
Burundi,BDI,2022,62.8819
Cambodia,KHM,2022,70.528
Cameroon,CMR,2022,62.4428
Canada,CAN,2022,81.2493
Cape Verde,CPV,2022,75.9068
Central African Republic,CAF,2022,18.8177
Chad,TCD,2022,54.5275
Chile,CHL,2022,79.1762
China,CHN,2022,78.2021
Colombia,COL,2022,76.5081
Comoros,COM,2022,66.4806
Congo,COG,2022,65.0003
Costa Rica,CRI,2022,79.3164
Cote d'Ivoire,CIV,2022,61.5622
Croatia,HRV,2022,78.2779
Cuba,CUB,2022,77.6291
Cyprus,CYP,2022,80.4337
Czechia,CZE,2022,79.1648
Democratic Republic of Congo,COD,2022,60.9789
Denmark,DNK,2022,81.2906
Djibouti,DJI,2022,65.5402
Dominica,DMA,2022,71.0806
Dominican Republic,DOM,2022,74.2108
East Timor,TLS,2022,67.3684
Ecuador,ECU,2022,76.5767
Egypt,EGY,2022,71.0097
El Salvador,SLV,2022,71.9695
Equatorial Guinea,GNQ,2022,63.3545
Eritrea,ERI,2022,67.7892
Estonia,EST,2022,78.1674
Eswatini,SWZ,2022,63.0283
Ethiopia,ETH,2022,66.8971
Fiji,FJI,2022,67.1481
Finland,FIN,2022,81.2435
France,FRA,2022,82.4753
French Guiana,GUF,2022,76.7942
Gabon,GAB,2022,67.713
Gambia,GMB,2022,64.859
Georgia,GEO,2022,74.1409
Germany,DEU,2022,80.5796
Ghana,GHA,2022,65.246
Greece,GRC,2022,79.9441
Greenland,GRL,2022,70.0519
Grenada,GRD,2022,75.1508
Guatemala,GTM,2022,71.2064
Guinea,GIN,2022,60.4316
Guinea-Bissau,GNB,2022,63.6045
Guyana,GUY,2022,69.8885
Haiti,HTI,2022,63.9483
Honduras,HND,2022,72.7151
Hungary,HUN,2022,76.2118
Iceland,ISL,2022,81.5877
India,IND,2022,71.6984
Indonesia,IDN,2022,70.9246
Iran,IRN,2022,76.7993
Iraq,IRQ,2022,72.0371
Ireland,IRL,2022,82.0505
Israel,ISR,2022,82.8145
Italy,ITA,2022,82.052
Jamaica,JAM,2022,71.4809
Japan,JPN,2022,84.0541
Jordan,JOR,2022,77.088
Kazakhstan,KAZ,2022,73.5028
Kenya,KEN,2022,63.5491
Kiribati,KIR,2022,66.2687
Kosovo,OWID_KOS,2022,77.6233
Kuwait,KWT,2022,78.7881
Kyrgyzstan,KGZ,2022,71.487
Laos,LAO,2022,68.7152
Latvia,LVA,2022,74.8706
Lebanon,LBN,2022,78.0029
Lesotho,LSO,2022,56.8119
Liberia,LBR,2022,61.9342
Libya,LBY,2022,74.4615
Liechtenstein,LIE,2022,83.4054
Lithuania,LTU,2022,74.696
Luxembourg,LUX,2022,82.2007
Madagascar,MDG,2022,63.0677
Malawi,MWI,2022,66.037
Malaysia,MYS,2022,75.4442
Maldives,MDV,2022,80.7595
Mali,MLI,2022,60.0347
Malta,MLT,2022,82.2496
Marshall Islands,MHL,2022,66.7245
Mauritania,MRT,2022,68.2807
Mauritius,MUS,2022,73.5445
Mexico,MEX,2022,73.9731
Micronesia (country),FSM,2022,66.9606
Moldova,MDA,2022,71.5465
Monaco,MCO,2022,85.7464
Mongolia,MNG,2022,71.5049
Montenegro,MNE,2022,75.9214
Morocco,MAR,2022,75.1614
Mozambique,MOZ,2022,63.0115
Myanmar,MMR,2022,66.5058
Namibia,NAM,2022,64.1903
Nauru,NRU,2022,61.9304
Nepal,NPL,2022,70.0869
Netherlands,NLD,2022,81.9121
New Caledonia,NCL,2022,77.6983
New Zealand,NZL,2022,81.0061
Nicaragua,NIC,2022,74.4626
Niger,NER,2022,60.3981
Nigeria,NGA,2022,54.079
North Korea,PRK,2022,73.6411
North Macedonia,MKD,2022,76.6455
Norway,NOR,2022,82.6309
Oman,OMN,2022,77.9106
Pakistan,PAK,2022,67.4167
Palau,PLW,2022,68.9222
Palestine,PSE,2022,76.6624
Panama,PAN,2022,79.3241
Papua New Guinea,PNG,2022,65.2736
Paraguay,PRY,2022,72.3185
Peru,PER,2022,76.834
Philippines,PHL,2022,69.4723
Poland,POL,2022,77.9229
Portugal,PRT,2022,81.1936
Puerto Rico,PRI,2022,79.4269
Qatar,QAT,2022,81.8566
Romania,ROU,2022,75.2614
Russia,RUS,2022,72.5174
Rwanda,RWA,2022,67.528
Saint Kitts and Nevis,KNA,2022,70.3131
Saint Lucia,LCA,2022,72.6699
Saint Vincent and the Grenadines,VCT,2022,71.1906
Samoa,WSM,2022,71.5503
San Marino,SMR,2022,85.7082
Sao Tome and Principe,STP,2022,69.2368
Saudi Arabia,SAU,2022,77.3098
Senegal,SEN,2022,67.7884
Serbia,SRB,2022,75.4778
Seychelles,SYC,2022,71.2481
Sierra Leone,SLE,2022,61.2748
Singapore,SGP,2022,82.9211
Slovakia,SVK,2022,77.0356
Slovenia,SVN,2022,80.7933
Solomon Islands,SLB,2022,70.4086
Somalia,SOM,2022,53.9315
South Africa,ZAF,2022,65.4536
South Korea,KOR,2022,82.727
South Sudan,SSD,2022,57.2026
Spain,ESP,2022,82.3661
Sri Lanka,LKA,2022,77.2996
Sudan,SDN,2022,65.695
Suriname,SUR,2022,73.2538
Sweden,SWE,2022,83.046
Switzerland,CHE,2022,83.2003
Syria,SYR,2022,72.7898
Taiwan,TWN,2022,80.1569
Tajikistan,TJK,2022,71.5624
Tanzania,TZA,2022,66.8786
Thailand,THA,2022,75.2913
Togo,TGO,2022,62.2898
Tonga,TON,2022,72.6353
Trinidad and Tobago,TTO,2022,73.3308
Tunisia,TUN,2022,76.0505
Turkey,TUR,2022,77.5913
Turkmenistan,TKM,2022,69.9133
Tuvalu,TUV,2022,66.8516
Uganda,UGA,2022,67.6747
Ukraine,UKR,2022,72.6582
United Arab Emirates,ARE,2022,80.4868
United Kingdom,GBR,2022,81.0744
United States,USA,2022,77.9789
Uruguay,URY,2022,76.4682
Uzbekistan,UZB,2022,72.1465
Vanuatu,VUT,2022,71.3016
Venezuela,VEN,2022,72.5656
Vietnam,VNM,2022,74.5025
Western Sahara,ESH,2022,71.1432
Yemen,YEM,2022,67.9517
Zambia,ZMB,2022,65.2791
Zimbabwe,ZWE,2022,62.3601