Entity,Code,Year,Share of the population using the Internet,Share of the population using the Internet (Original Year)
Afghanistan,AFG,2022,17.1917,
Albania,ALB,2022,82.6137,
Algeria,DZA,2022,74.8319,
Andorra,AND,2022,94.4855,
Angola,AGO,2022,42.0719,
Antigua and Barbuda,ATG,2022,77.1648,
Argentina,ARG,2022,88.3754,
Armenia,ARM,2022,77.0277,
Australia,AUS,2022,97.0424,
Austria,AUT,2022,93.6141,
Azerbaijan,AZE,2022,88,
Bahamas,BHS,2022,94.7326,
Bahrain,BHR,2022,100,
Bangladesh,BGD,2022,41.6165,
Barbados,BRB,2022,79.4451,
Belarus,BLR,2022,89.5073,
Belgium,BEL,2022,94.0078,
Belize,BLZ,2022,71.8096,
Benin,BEN,2022,30.0134,
Bhutan,BTN,2022,86.2903,
Bolivia,BOL,2022,67.3612,
Bosnia and Herzegovina,BIH,2022,78.8455,
Botswana,BWA,2022,80.3696,
Brazil,BRA,2022,80.5278,
Brunei,BRN,2022,98.9704,
Bulgaria,BGR,2022,79.1269,
Burkina Faso,BFA,2022,14.6238,
Burundi,BDI,2022,11.0009,
Cambodia,KHM,2022,59.6606,
Cameroon,CMR,2022,41.775,
Canada,CAN,2022,94,
Cape Verde,CPV,2022,72.7601,
Central African Republic,CAF,2022,7.50916,2019
Chad,TCD,2022,12.4865,
Chile,CHL,2022,93.5377,
China,CHN,2022,75.6113,
Colombia,COL,2022,72.7964,
Comoros,COM,2022,32.7685,
Congo,COG,2022,37.4939,
Costa Rica,CRI,2022,82.598,
Cote d'Ivoire,CIV,2022,38.4133,
Croatia,HRV,2022,82.0716,
Cuba,CUB,2022,68.25,
Cyprus,CYP,2022,89.601,
Czechia,CZE,2022,84.5401,
Democratic Republic of Congo,COD,2022,29.4996,
Denmark,DNK,2022,97.8601,
Djibouti,DJI,2022,63.2573,
Dominica,DMA,2022,83.3101,
Dominican Republic,DOM,2022,81.5127,
East Timor,TLS,2022,34.5102,
Ecuador,ECU,2022,69.7181,
Egypt,EGY,2022,72.1981,
El Salvador,SLV,2022,65.5298,
Equatorial Guinea,GNQ,2022,59.3433,
Eritrea,ERI,2022,18.7092,
Estonia,EST,2022,91.5202,
Eswatini,SWZ,2022,57.465,
Ethiopia,ETH,2022,16.6981,2021
Fiji,FJI,2022,78.2433,
Finland,FIN,2022,92.9888,
France,FRA,2022,85.3333,
Gabon,GAB,2022,70.7069,
Gambia,GMB,2022,44.0389,
Georgia,GEO,2022,78.7113,
Germany,DEU,2022,91.6298,
Ghana,GHA,2022,69.3607,
Greece,GRC,2022,83.1707,
Greenland,GRL,2022,69.4825,2017
Grenada,GRD,2022,74.2689,
Guatemala,GTM,2022,55.4086,
Guinea,GIN,2022,24.6954,
Guinea-Bissau,GNB,2022,27.5672,
Guyana,GUY,2022,78.3924,
Haiti,HTI,2022,39.262,2019
Honduras,HND,2022,56.3896,
Hungary,HUN,2022,89.1428,
Iceland,ISL,2022,99.8082,
India,IND,2022,55.9,
Indonesia,IDN,2022,66.4846,
Iran,IRN,2022,79.061,
Iraq,IRQ,2022,78.7156,
Ireland,IRL,2022,96.6206,
Israel,ISR,2022,91.8508,
Italy,ITA,2022,85.0607,
Jamaica,JAM,2022,82.4453,
Japan,JPN,2022,84.9234,
Jordan,JOR,2022,90.5,
Kazakhstan,KAZ,2022,92.2969,
Kenya,KEN,2022,35,2023
Kiribati,KIR,2022,88,2023
Kosovo,OWID_KOS,2022,89.443,2018
Kuwait,KWT,2022,99.7237,
Kyrgyzstan,KGZ,2022,82.5991,
Laos,LAO,2022,62.7001,
Latvia,LVA,2022,91.0301,
Lebanon,LBN,2022,82.798,
Lesotho,LSO,2022,46.5007,
Liberia,LBR,2022,21.8966,
Libya,LBY,2022,88.6412,
Liechtenstein,LIE,2022,96.4528,
Lithuania,LTU,2022,87.7242,
Luxembourg,LUX,2022,98.242,
Madagascar,MDG,2022,18.5532,
Malawi,MWI,2022,17.0457,
Malaysia,MYS,2022,97.3986,
Maldives,MDV,2022,83.9119,
Mali,MLI,2022,34.3797,
Malta,MLT,2022,91.5406,
Marshall Islands,MHL,2022,64.8023,
Mauritania,MRT,2022,34.3001,
Mauritius,MUS,2022,75.5,
Mexico,MEX,2022,78.6322,
Micronesia (country),FSM,2022,39.3833,2020
Moldova,MDA,2022,76.7412,
Monaco,MCO,2022,99.1497,
Mongolia,MNG,2022,82.1725,
Montenegro,MNE,2022,88.2219,
Morocco,MAR,2022,89.9,
Mozambique,MOZ,2022,18.7913,
Myanmar,MMR,2022,58.0112,
Namibia,NAM,2022,61.1485,
Nauru,NRU,2022,81.6554,2020
Nepal,NPL,2022,53.8878,
Netherlands,NLD,2022,92.5197,
New Caledonia,NCL,2022,82.0058,2017
New Zealand,NZL,2022,96.1942,
Nicaragua,NIC,2022,49.1307,
Niger,NER,2022,23.2982,
Nigeria,NGA,2022,37.6975,
North Macedonia,MKD,2022,85.008,
Norway,NOR,2022,99,
Oman,OMN,2022,95.2453,
Pakistan,PAK,2022,24.2103,
Palestine,PSE,2022,88.6469,
Panama,PAN,2022,77.7041,
Papua New Guinea,PNG,2022,23.7315,
Paraguay,PRY,2022,76.2592,
Peru,PER,2022,74.675,
Philippines,PHL,2022,75.2111,
Poland,POL,2022,86.9411,
Portugal,PRT,2022,84.4969,
Puerto Rico,PRI,2022,87.2918,
Qatar,QAT,2022,99.6528,
Romania,ROU,2022,85.5031,
Russia,RUS,2022,90.418,
Rwanda,RWA,2022,31.2252,
Saint Kitts and Nevis,KNA,2022,75.5566,
Saint Lucia,LCA,2022,65.3544,
Saint Vincent and the Grenadines,VCT,2022,71.7226,
Samoa,WSM,2022,57.3288,
San Marino,SMR,2022,85.0607,
Sao Tome and Principe,STP,2022,61.5535,
Saudi Arabia,SAU,2022,100,
Senegal,SEN,2022,59.2246,
Serbia,SRB,2022,83.5383,
Seychelles,SYC,2022,87.0353,
Sierra Leone,SLE,2022,19.2287,
Singapore,SGP,2022,95.9539,
Slovakia,SVK,2022,89.0677,
Slovenia,SVN,2022,88.9125,
Solomon Islands,SLB,2022,42.094,
Somalia,SOM,2022,27.6,
South Africa,ZAF,2022,75.4556,
South Korea,KOR,2022,97.1686,
South Sudan,SSD,2022,9.27123,2020
Spain,ESP,2022,94.4855,
Sri Lanka,LKA,2022,48.3,
Sudan,SDN,2022,26.4383,2020
Suriname,SUR,2022,77.6494,
Sweden,SWE,2022,95.0097,
Switzerland,CHE,2022,96.4528,
Syria,SYR,2022,34.65,2019
Tajikistan,TJK,2022,53.1078,
Tanzania,TZA,2022,22.101,
Thailand,THA,2022,87.9772,
Togo,TGO,2022,35.5105,
Tonga,TON,2022,57.7181,
Trinidad and Tobago,TTO,2022,84.4957,
Tunisia,TUN,2022,70.5532,
Turkey,TUR,2022,83.4372,
Turkmenistan,TKM,2022,21.251,2017
Tuvalu,TUV,2022,73.5846,
Uganda,UGA,2022,11.1246,
Ukraine,UKR,2022,82.6753,
United Arab Emirates,ARE,2022,100,
United Kingdom,GBR,2022,96.2989,
United States,USA,2022,92.2016,
Uruguay,URY,2022,89.873,
Uzbekistan,UZB,2022,83.9,
Vanuatu,VUT,2022,45.6747,
Venezuela,VEN,2022,61.6,2017
Vietnam,VNM,2022,78.59,
Yemen,YEM,2022,13.8152,2020
Zambia,ZMB,2022,15,
Zimbabwe,ZWE,2022,37.8861,